0xf000,4,13
0xe000,4,17
0xd000,4,7
0xc000,4,11
0xbc00,6,1
0xb800,6,23
0xb600,7,4
0xb400,7,20
0xb200,7,0
0xb000,7,24
0xa800,5,22
0xa000,5,10
0x8000,3,12
0x7800,5,2
0x7000,5,14
0x6000,4,6
0x5000,4,18
0x4000,4,8
0x3000,4,16
0x2800,5,9
0x2000,5,5
0x1800,5,15
0x1000,5,21
0x0800,5,19
0x0000,5,3
0xf800,5,18
0xf000,5,6
0xe800,5,8
0xe700,8,3
0xe6c0,10,24
0xe680,10,4
0xe640,10,0
0xe600,10,20
0xe400,7,23
0xe200,7,1
0xe000,7,19
0xd800,5,16
0xd600,7,15
0xd400,7,21
0xd200,7,9
0xd000,7,5
0xcc00,6,2
0xc800,6,10
0xc400,6,14
0xc000,6,22
0x8000,2,12
0x6000,3,13
0x4000,3,17
0x2000,3,11
0x0000,3,7
