0xfc00,6,7
0xf800,6,8
0xf400,6,9
0xf000,6,-8
0xec00,6,11
0xea00,7,21
0xe900,8,-28
0xe800,8,28
0xe400,6,-9
0xe200,7,-22
0xe000,7,-21
0xdc00,6,-10
0xd800,6,-11
0xd400,6,10
0xd000,6,12
0xcc00,6,-13
0xca00,7,22
0xc800,7,23
0xc400,6,-12
0xc000,6,13
0xbc00,6,14
0xb800,6,-14
0xb600,7,-23
0xb500,8,-29
0xb400,8,29
0xb000,6,-15
0xac00,6,15
0xa800,6,16
0xa400,6,-16
0xa200,7,-24
0xa000,7,24
0x9c00,6,17
0x9a00,7,-25
0x9900,8,-30
0x9800,8,30
0x9400,6,-17
0x9000,6,18
0x8c00,6,-18
0x8a00,7,25
0x8800,7,26
0x8400,6,19
0x8200,7,-26
0x8000,7,-27
0x7800,5,2
0x7400,6,-19
0x7000,6,20
0x6800,5,-1
0x6700,8,-31
0x6600,8,31
0x6400,7,27
0x6000,6,-20
0x5800,5,1
0x5000,5,-5
0x4800,5,-3
0x4000,5,3
0x3800,5,0
0x3000,5,-2
0x2800,5,-4
0x2000,5,4
0x1800,5,5
0x1000,5,-6
0x0800,5,6
0x0000,5,-7
0xf800,5,-1
0xf000,5,2
0xe800,5,-2
0xe000,5,3
0xdf00,8,-20
0xdec0,10,24
0xdebc,14,28
0xdeb8,14,-28
0xdeb4,14,-30
0xdeb0,14,30
0xdea0,12,-27
0xde9c,14,29
0xde98,14,-29
0xde94,14,31
0xde90,14,-31
0xde80,12,27
0xde00,9,-22
0xdc00,7,-17
0xd800,6,-11
0xd000,5,-3
0xc800,5,4
0xc000,5,-4
0xbe00,7,17
0xbd00,8,20
0xbc80,9,22
0xbc40,10,-25
0xbc00,10,-26
0xb800,6,12
0xb000,5,5
0xa800,5,-5
0xa000,5,6
0x9800,5,-6
0x9400,6,-12
0x9200,7,-18
0x9000,7,18
0x8c00,6,13
0x8800,6,-13
0x8000,5,-7
0x7c00,6,14
0x7b00,8,21
0x7a00,8,-21
0x7800,7,-19
0x7000,5,7
0x6800,5,8
0x6400,6,-14
0x6000,6,-15
0x5800,5,-8
0x5400,6,15
0x5200,7,19
0x51c0,10,25
0x5180,10,26
0x5100,9,-23
0x5080,9,23
0x5000,9,-24
0x4800,5,-9
0x4000,5,9
0x3c00,6,16
0x3800,6,-16
0x3000,5,10
0x2000,4,0
0x1800,5,-10
0x1000,5,11
0x0000,4,1
