0xa000,3,7
0x4000,4,12
0x2800,5,16
0x1800,6,21
0x0e00,7,27
0x0700,8,34
0x0380,9,41
0x0140,10,48
0x0080,11,53
0x0030,12,57
0x0018,13,60
0x0000,14,63
