0xe000,3,13
0xdc00,6,26
0xd800,6,0
0xd400,6,20
0xd000,6,6
0xc000,4,14
0xb000,4,12
0xa000,4,4
0x9000,4,22
0x8c00,6,8
0x8800,6,18
0x8400,6,24
0x8000,6,2
0x7000,4,16
0x6000,4,10
0x5800,5,17
0x5000,5,9
0x4800,5,1
0x4000,5,25
0x3800,5,5
0x3000,5,21
0x2800,5,3
0x2000,5,11
0x1800,5,15
0x1000,5,23
0x0800,5,19
0x0000,5,7
0x8000,1,13
0x7e00,7,15
0x7c00,7,1
0x7a00,7,11
0x7800,7,7
0x7600,7,17
0x7400,7,25
0x7200,7,19
0x7180,9,8
0x7100,9,18
0x7080,9,2
0x7000,9,24
0x6e00,7,3
0x6c00,7,23
0x6a00,7,21
0x6800,7,5
0x6700,8,0
0x6600,8,26
0x6500,8,6
0x6400,8,20
0x6000,6,9
0x5000,4,14
0x4000,4,12
0x3000,4,4
0x2000,4,22
0x1000,4,16
0x0000,4,10
