0xf800,5,3
0xf000,5,-4
0xec00,6,-11
0xe800,6,12
0xe000,5,4
0xd800,5,6
0xd000,5,-5
0xc800,5,5
0xc000,5,7
0xb800,5,-7
0xb400,6,-12
0xb000,6,-13
0xa800,5,-6
0xa000,5,8
0x9800,5,-8
0x9000,5,9
0x8800,5,-9
0x8400,6,13
0x8200,7,-15
0x8000,7,15
0x7000,4,0
0x6800,5,-10
0x6000,5,10
0x5000,4,-1
0x4000,4,2
0x3000,4,1
0x2000,4,-2
0x1c00,6,14
0x1800,6,-14
0x1000,5,11
0x0000,4,-3
0xf800,5,-6
0xf000,5,6
0xe000,4,1
0xd000,4,-1
0xce00,7,10
0xcc00,7,-10
0xcb00,8,-11
0xca80,9,-12
0xca60,11,13
0xca58,13,15
0xca50,13,-14
0xca48,13,14
0xca40,13,-15
0xca00,10,-13
0xc900,8,11
0xc800,8,12
0xc400,6,-9
0xc000,6,9
0xb000,4,-2
0xa000,4,2
0x9000,4,3
0x8000,4,-3
0x7800,5,-7
0x7000,5,7
0x6000,4,-4
0x5000,4,4
0x4800,5,-8
0x4000,5,8
0x3000,4,5
0x2000,4,-5
0x0000,3,0
